Id,Object,Category,SpecType,Rband,Distance,DiskMajorAxis,Inclination,RA,DEC,SystemAge,StellarMass,References
153,HR 8799,Debris,A5?,5.8,40,28.4,26,23 07 28.71,+21 08 03.3,,,
154,HT Lup A,TT,K2,10.5,154,0.156,48,15 45 12.85,-34 17 31.0,,,
155,HT Lup B,,,,154,0.032,45,15 45 12.84,-34 17 31.1,,,
156,HT Lup C,,,,154,0.059,66,15 45 12.65,-34 17 29.7,,,
157,HV Tau C,TT,M0,13.2,140,1.2,84,04 38 35.48,+26 10 41.7,,,
158,IC 348-IR,HAe,B7.5,,200,8,87,03 43 58.8,+32 01 52,,,
159,IM Lup,TT,M0,12.1,158,4,48,15 56 09.23,-37 56 05.9,,,
160,IP Tau,TT,M0,12.5,130,0.53,45,04 24 57.08,+27 11 56.5,,,
161,IQ Tau,TT,M0.5,12.4,131,1.47,62,04 29 51.56,+26 06 44.8,,,
162,IRAS 04158+2805,TT,M3,18.5,140,8,62,04 18 58.14,+28 12  23.3,,,
163,IRAS 04302+2247,YSO,,,140,6,90,04 33 16.45,+22 53  20.7,,,
164,IRAS 04325+2402,TT,,,140,1,83,04 35 33.0,+24 08 14,,,
165,IRAS 04385+2550,YSO,M0.5,15.7,140,4.28,52,04 41 38.82,+25 56 26.8,,,
166,IRAS 18059-3211,PPN,A0,13.6,1000,5.5,90,18 09 13.43,-32 10 48.0,,,
167,IRAS 18151-1208,YSO,,,3000,3.3,,18 17 58.2,-12 07 28,,,
168,Kappa CrB,Debris,K1IV,4.06,31.1,14.15,59,15 51 13.93,+35 39 26.6,,,
169,L1527 IRS,YSO,,,140,1.8,90,04 39 53.59,+26 03 05.5,,,
170,L1551 IRS 5,YSO,,,147,0.12,,04 31 34,+18 08 05,,,
171,lambda Boo,Debris,A0p,4.1,30.3,5.6,48,14 16 23.02,+46 05 17.9,,,
172,LkCa 15,TT,K5,11.8,140,9.3,52,04 39 17.78,+22 21 03.5,,,
173,LkHa 263 C,TT,M0,13.7,275,1.1,87,02 56 08.60,+20 03 40.7,,,
174,LkHa 330,YSO,G2,11.2,250,0.5,42,03 45 48.28,+32 24 11.9,,,
175,LkHa 358,YSO,M5.5,18,140,2.14,28,04 31 36.13,+18 13 43.3,,,
176,M17-SO1,YSO,,,2200,9,77,18 20 26.19,-16 12 10.5,,,
177,MWC 480,HAe,A2e,7.8,161,1.3,36,04 58 46.26,+29 50 37.0,,,
178,MWC 758,HAe,A3e,8.1,200,2.45,46,05 30 27.51,+25 19 57.2,,,
179,MWC 778,UC,,14,1000,2.4,75,05 50 13.90,+23 52 17.9,,,
180,MY Lup,TT,K0,11.1,156,1.12,73,16 00 44.52,-41 55 30.9,,,
181,NGC 1333 IRAS 3B,YSO,,,230,1.78,45,03 25 36.3,+30 45 15.0,,,
182,Oph IRS 48,Trans,A0,16.7,121,2.64,42,16 27 37.19,-24 30 35,,,
183,OPH-E_MM3,YSO,,,140,1.5,90,16 27 05.91,-24 37 08.2,,,
184,Orion 051-3541,UC,,20,414,0.35,90,05 35 05.05,-05 35 40.8,,,
185,Orion 053-717,UC,K5,13.6,414,0.9,80,05 35 05.41,-05 27 17.2,,,
186,Orion 090-326,UC,,,414,0.3,60,05 35 09.02,-05 23 26.2,,,
187,Orion 110-3035,UC,,,414,0.9,75,05 35 10.99,-05 30 35.2,,,
188,Orion 114-426,UC,,,414,2.7,85,05 35 11.35,-05 24 26.4,,,
189,Orion 121-1925,UC,M4.5,,414,0.8,51,05 35 12.10,-05 19 25.0,,,
190,Orion 124-132,UC,,,414,0.5,,05 35 12.38,-05 21 31.5,,,
191,Orion 132-042,UC,,,414,0.5,60,05 35 13.24,-05 20 41.9,,,
192,Orion 132-1832,UC,,,414,1.5,75,05 35 13.21,-05 18 32.3,,,
193,Orion 139-409,YSO,,,414,0.4,40,05 35 13.91,-05 24 09.4,,,
194,Orion 141-1952,UC,G8?,,414,0.7,25,05 35 14.05,-05 19 52.1,,,
195,Orion 163-026,UC,M5,,414,0.8,78,05 35 16.29,-05 20 25.9,,,
196,Orion 165-254,UC,,,414,0.3,71,05 35 16.54,-05 22 53.8,,,
197,Orion 167-231,UC,M4,,414,0.5,30,05 35 16.73,-05 22 31.4,,,
198,Orion 172-028,UC,M3,,414,0.7,55,05 35 17.22,-05 20 28.1,,,
199,Orion 182-332,UC,,,414,0.3,60,05 35 18.12,-05 23 31.5,,,
200,Orion 182-413,UC,,16.2,414,0.4,80,05 35 18.21,-05 24 13.4,,,
201,Orion 183-405,UC,M3,,414,0.7,39,05 35 18.33,-05 24 04.9,,,
202,Orion 183-419,UC,,,414,0.25,65,05 35 18.31,-05 24 19.0,,,
203,Orion 191-232,UC,,,414,0.3,65,05 35 19.13,-05 22 31.7,,,
204,Orion 193-1659,UC,,,414,0.8,,05 35 19.25,-05 16 58.7,,,
205,Orion 203-506,UC,,,414,0.4,67,05 35 20.30,-05 25 05.7,,,
206,Orion 216-0939,UC,K5,18.8,414,2.6,,05 35 21.57,-05 09 38.9,,,
207,Orion 218-354,UC,G6-K3,,414,1.4,65,05 35 21.79,-05 23 53.9,,,
208,Orion 218-529,UC,,,414,0.4,60,05 35 21.82,-05 25 28.7,,,
209,Orion 230-536,UC,,,414,0.5,60,05 35 23.02,-05 25 36.3,,,
210,Orion 239-334,UC,,,414,0.5,66,05 35 23.86,-05 23 34.1,,,
211,Orion 253-1536,UC,M2.5,,414,1.5,,05 35 25.30,-05 15 35.5,,,
212,Orion 280-1720,UC,M4,,414,0.8,0,05 35 28.04,-05 17 20.2,,,
213,Orion 281-306,UC,M3e,,414,0.4,1,05 35 28.13,-05 23 06.5,,,
214,Orion 294-606,UC,,,414,1,85,05 35 29.38,-05 26 06.3,,,
215,Orion 294-757,UC,,,414,0.43,,05 35 29.43,-05 37 56.6,,,
216,Orion 321-602,TT,,22,440,0.6,85,05 35 32.10,-05 26 01.9,,,
217,Orion 332-405,UC,,,414,0.75,70,05 35 33.19,-05 24 04.7,,,
218,Orion 346-1553,UC,M4,,414,0.5,0,05 35 34.62,-05 15 52.9,,,
219,Orion 347-1535,UC,,,414,0.7,,05 35 34.67,-05 15 34.8,,,
220,Orion 4538-311,UC,,,414,0.43,82,05 34 53.79,-05 23 10.7,,,
221,Orion 473-245,UC,,,414,0.75,88,05 35 47.34,-05 22 44.8,,,
222,PDS 144N,HAe,A2IV,11.6,145,0.8,83,15 49 15.53,-26 00 50.1,,,
223,PDS 66,TT,K1 IV,10.3,86,0.82,32,13 22 07.55,-69 38 12.2,,,
224,PDS 70,TT,K5,11.3,140,2.5,62,14 08 10.15,-41 23 52.5,,,
225,PV Cephei,HAe,A5,11.1,500,0.68,62,20 45 53.96,+67 57 38.9,,,
226,rho Vir,Debris,A0V,4.8,36.9,5,70,12 41 53.06,+10 14 08.3,,,
227,RU Lup,TT,M0,10.2,154,0.82,19,15 56 42.31,-37 49 15.5,,,
228,RX J1615.3-3255,wTT,K5,11.2,185,1.24,41,16 15 20.23,-32 55 05.1,,,
229,RY Tau,TT,K1,12.8,128,0.36,65,04 21 57.41,+28 26 35.6,,,
230,SR 21,TT,G3,,140,1.4,60,16 27 10.11,-24 19 14.7,,,
231,SR 24 S,TT,K1,14.2,114.4,0.78,50,16 26 58.52,-24 45 35.0,,,
232,SR 4,TT,K7,11.7,134,0.46,22,16 25 56.17,-24 20 48.2,,,
233,Sz 114,TT,M5,14.4,162,0.72,21,16 09 01.85,-39 05 12.4,,,
234,Sz 129,TT,K7,11.9,161,0.94,34,15 59 16.47,-41 57 10.3,,,
235,Tau Ceti,Debris,G8 V,3.5,3.6,15.3,35,01 44 04.08,-15 56 14.9,,,
236,TW Hya,TT,K7,11.4,56,8,0,11 01 51.97,-34 42 17.6,,,
237,TWA 25,Debris,M0,10.9,54,2.89,75,12 15 30.72,-39 48 42.6,,,
238,TWA 7,Debris,M2 Ve,11,34.5,2.03,28,10 42 30.11,-33 40 16.2,,,
239,UX Tau A,TT,G5 V,,140,0.29,35,04 30 03.99,+18 13 49.4,,,
240,UY Aur,TT,K7,10,140,30,42,04 51 47.37,+30 47 13.9,,,
241,UZ Tau E,TT,M1,11.2,131,1.24,56,04 32 43.07,+25 52 31.1,,,
242,V1094 Sco,TT,K6,12.5,154,3.9,53,16 08 36.18,-39 23 02.5,,,
243,V4046 Sgr,TT,K5,9.6,73,2.5,32,18 14 10.47,-32 47 34.5,,,
244,V883 Ori,YSO,,,414,0.3,38,05 38 18.10,-07 02 26.0,,,
245,V892 Tau,HAe,B8,14.4,140,0.51,59,04 18 40.61,+28 19 15.5,,,
246,Vega,Debris,A0,0.1,7.8,140,0,18 36 56.34,+38 47 01.3,,,
247,WaOph 6,TT,K7,12,123,1.675,47,16 48 45.63,-14 16 36.0,,,
248,WL 16,HAe,B8-A7,,140,7,62,16 27 02.34,-24 37 27.2,,,
249,WL 20 S,YSO,,,140,0.59,,16 27 15.72,-24 38 46,,,
250,WSB 52,TT,M0,15.8,136,0.47,54,16 27 39.42,-24 39 15.5,,,
251,WSB 60,TT,M4.5,16.6,140,1.2,42,16 28 16.65,-24 36 57.5,,,
252,WW Cha,TT,K5,13.3,160,1.32,,11 10 00.11,-76 34 57.9,,,
253,zeta Lep,Debris,A0 V,3.4,21.6,0.28,30,05 46 57.34,-14 49 19.0,,,
